TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
section,Организация,,,,,,,
task,Организовать хранение и обмен файлов:,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Раздать сетевую папку,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Создать word/zip для материалов,4,2,Konstantin (21123221),,,en,Europe/Moscow
note,"**Word**
Использовать режим исправлений
**Папки**
- **Материалы статей**
- **Статья**: основной файл статьи и рисунки
- **Сопровождение**: сведения об авторах, рецензии, справки, письма",,,Konstantin (21123221),,,,
,,,,,,,,
task,Описать работу с файлами,4,2,Konstantin (21123221),,,en,Europe/Moscow
note,"Как заполнять этот файл?
1. Скачиваешь.
2. Переименовываешь у себя с добавкой к имени «-Фамилия».
3. В своих разделах удаляешь набросок содержимого, заполняешь.
4. Загружаешь файл в папку рядом с оригиналом.
5. Я объединяю его с оригиналом и удаляю.
Если понадобятся правки после объединения, то повторяешь с пункта 1.
Источники можно вставлять прямо в тексте в квадратных скобках в формате по ГОСТ 7.1-2003. Если формат не соответствует, то все равно вставляешь что есть, потом будем приводить в порядок.
Комментарии текстом заключаются в двойные круглые скобки, например ((вставить рисунок)). Их легко искать с помощью поиска.",,,Konstantin (21123221),,,,
,,,,,,,,
task,Оценить ход работы,4,1,Konstantin (21123221),,каждый 3 понедельник,ru,Europe/Moscow
,,,,,,,,
section,Работа с редакцией,,,,,,,
task,Выбрать журнал,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Отправить статью,4,1,Konstantin (21123221),,in 138 days,en,Europe/Moscow
,,,,,,,,
task,Найти требования журнала к рукописи,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
section,Подбор материалов,,,,,,,
task,Определить темы статей для поиска,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Найти статьи,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
section,Написание текста,,,,,,,
task,Определить размеры отдельных частей,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Мета,4,1,Konstantin (21123221),,,en,Europe/Moscow
note,"Все, что не составляет текст статьи.  Хотя список литературы по тексту стоит позже, здесь я придерживался именно классификации, которая требует разных видов работы для разных типов материала",,,Konstantin (21123221),,,,
,,,,,,,,
task,Название,1,2,Konstantin (21123221),,,en,Europe/Moscow
note,Не более 7 слов,,,Konstantin (21123221),,,,
,,,,,,,,
task,Реферат,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Ключевые слова,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Список источников,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Содержание,4,1,Konstantin (21123221),,,en,Europe/Moscow
note,"Список ДОЛЖЕН БЫТЬ маркированным если порядок следования не важен.  Такие списки МОЖНО сортировать по алфавиту, если пункты состоят из одного слова

Список ДОЛЖЕН БЫТЬ нумерованным если важен порядок следования пунктов или первые пункты важнее последних.  В этом случае список сортируется по порядку следования или важности.",,,Konstantin (21123221),,,,
,,,,,,,,
task,Введение,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Цель,4,2,Konstantin (21123221),,,en,Europe/Moscow
note,"- быть связана с результатом
- начинаться с глагола
- содержать одно предложение
- не более 20 слов",,,Konstantin (21123221),,,,
,,,,,,,,
task,Материалы и методы,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Критерии ранжирования,4,3,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Результаты и обсуждение,4,2,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Конкретный пример,4,3,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
task,Выводы,4,2,Konstantin (21123221),,,en,Europe/Moscow
note,"- достигнута ли цель?
- какие трудности не были учтены?
- что можно улучшить в нашем подходе?",,,Konstantin (21123221),,,,
,,,,,,,,
task,Медиа,4,1,Konstantin (21123221),,,en,Europe/Moscow
note,"Рисунки, таблицы, графики, фотографии",,,Konstantin (21123221),,,,
,,,,,,,,
section,Редактура,,,,,,,
task,Вычитать текст,4,1,Konstantin (21123221),,in 107 days,en,Europe/Moscow
note,"Сделать перерыв в работе над статьей на неделю
Проверить 12-17 слов/предложение и 5-8 предложений/абзац",,,Konstantin (21123221),,,,
,,,,,,,,
section,Публикация,,,,,,,
task,Записать статью в список трудов,4,1,Konstantin (21123221),,,en,Europe/Moscow
,,,,,,,,
section,Личное обсуждение (встречи),,,,,,,
project_note,"Ограничить объем задачи 0,5-1 часом",,,Konstantin (21123221),,,,
